N	T[ms]	dev[ms]	Samples
100000	272.8	198.681	100
200000	306.29	182.307	100
300000	309.64	198.934	100
400000	346.5	254.274	100
500000	329.56	244.6	100
600000	328.95	193.249	100
700000	322.04	185.573	100
800000	314.06	201.681	100
900000	340.29	244.214	100
1000000	320.3	201.386	100
