N	T[ms]	dev[ms]	Samples
200000	1.729	1.30557	100
400000	1.549	0.0893241	100
600000	1.547	0.0858175	100
800000	1.538	0.0775639	100
1000000	1.525	0.0657129	100
1200000	1.529	0.0518253	100
1400000	1.53	0.06742	100
1600000	1.52	0.0550482	100
1800000	1.53	0.0858705	100
2000000	1.525	0.0641573	100
