N	T[ms]	dev[ms]	Samples
100000	25.235	2.14981	100
200000	26.18	3.164	100
300000	28.076	3.05763	100
400000	28.569	1.94265	100
500000	30.27	6.85264	100
600000	29.087	2.69473	100
700000	30.946	6.27333	100
800000	30.289	2.26631	100
900000	30.74	3.09578	100
1000000	31.528	8.66397	100
